'y-axis saved as y
'x,PKT-3-105-2_Y2O3_2BMMnO2_FlowO2_650_24.raw,Diff,Bkg,Ycalc
14.8841407,629,-82.7206195,706.420967,711.720619
14.904576,658,-49.9006252,702.274372,707.900625
14.9250113,608,-96.1390647,698.155075,704.139065
14.9454467,618,-82.4399176,694.062969,700.439918
14.965882,604,-92.8078537,689.997953,696.807854
14.9863173,612,-81.2483786,685.959921,693.248379
15.0067526,638,-51.7680151,681.948769,689.768015
15.0271879,609,-77.3745324,677.964393,686.374532
15.0476232,652,-31.0772385,674.006685,683.077238
15.0680586,602,-77.8873546,670.075543,679.887355
15.0884939,662,-14.8185011,666.170858,676.818501
15.1089292,573,-100.887332,662.292526,673.887332
15.1293645,613,-58.1143751,658.440439,671.114375
15.1497998,585,-83.5251543,654.614491,668.525154
15.1702352,660,-6.15170882,650.814576,666.151709
15.1906705,614,-50.0346761,647.040585,664.034676
15.2111058,603,-59.226188,643.292411,662.226188
15.2315411,644,-16.7939553,639.569947,660.793955
15.2519764,593,-66.8271159,635.873084,659.827116
15.2724117,622,-37.4447218,632.201715,659.444722
15.2928471,596,-63.8081865,628.555731,659.808187
15.3132824,622,-39.1395824,624.935023,661.139582
15.3337177,586,-77.7481669,621.339482,663.748167
15.354153,628,-40.0673051,617.768999,668.067305
15.3745883,643,-31.7017914,614.223466,674.701791
15.3950236,598,-86.4794395,610.702772,684.479439
15.415459,544,-154.486284,607.206809,698.486284
15.4358943,658,-60.0305926,603.735465,718.030593
15.4563296,651,-93.4067092,600.288632,744.406709
15.4767649,687,-91.21046,596.866199,778.21046
15.4972002,719,-98.9250215,593.468057,817.925022
15.5176355,748,-110.049553,590.094093,858.049553
15.5380709,752,-136.683759,586.7442,888.683759
15.5585062,736,-163.400179,583.418264,899.400179
15.5789415,811,-75.0299106,580.116176,886.029911
15.5993768,747,-106.18273,576.837826,853.18273
15.6198121,740,-70.1959756,573.583101,810.195976
15.6402474,669,-97.0389584,570.351891,766.038958
15.6606828,664,-62.2717349,567.144084,726.271735
15.6811181,649,-43.8058342,563.959571,692.805834
15.7015534,607,-58.4463233,560.798238,665.446323
15.7219887,588,-55.2675492,557.659975,643.267549
15.742424,571,-54.2467737,554.54467,625.246774
15.7628593,569,-41.461019,551.452212,610.461019
15.7832947,606,7.85026468,548.382489,598.149735
15.80373,560,-27.743716,545.33539,587.743716
15.8241653,542,-36.805405,542.310803,578.805405
15.8446006,555,-16.0026088,539.308616,571.002609
15.8650359,548,-16.0862013,536.328717,564.086201
15.8854712,527,-30.8690963,533.370995,557.869096
15.9059066,557,4.79000306,530.435338,552.209997
15.9263419,513,-34.0014007,527.521635,547.001401
15.9467772,498,-44.1609137,524.629772,542.160914
15.9672125,526,-11.625128,521.75964,537.625128
15.9876478,509,-24.3457882,518.911125,533.345788
16.0080831,485,-44.2877934,516.084116,529.287793
16.0285185,478,-47.4230685,513.278502,525.423069
16.0489538,495,-26.7153885,510.49417,521.715389
16.0693891,503,-15.1287161,507.731009,518.128716
16.0898244,516,1.34270928,504.988908,514.657291
16.1102597,499,-12.2918519,502.267754,511.291852
16.130695,528,19.9784945,499.567436,508.021506
16.1511304,515,10.1629442,496.887843,504.837056
16.1715657,466,-35.7309381,494.228863,501.730938
16.192001,475,-23.6969528,491.590385,498.696953
16.2124363,484,-11.7300642,488.972297,495.730064
16.2328716,451,-41.8262531,486.374488,492.826253
16.2533069,478,-11.9824147,483.796847,489.982415
16.2737423,462,-25.1962986,481.239263,487.196299
16.2941776,502,17.5335118,478.701624,484.466488
16.3146129,444,-37.7924213,476.183821,481.792421
16.3350482,456,-23.1744581,473.685741,479.174458
16.3554835,432,-44.6140039,471.207275,476.614004
16.3759188,439,-35.1136999,468.748312,474.1137
16.3963542,495,23.3223001,466.30874,471.6777
16.4167895,453,-16.3120529,463.888451,469.312053
16.4372248,464,-3.02521504,461.487332,467.025215
16.4576601,507,42.1712906,459.105275,464.828709
16.4780954,443,-19.737951,456.74217,462.737951
16.4985307,516,55.2267168,454.397905,460.773283
16.5189661,452,-6.96143725,452.072372,458.961437
16.5394014,449,-8.33819468,449.765461,457.338195
16.5598367,487,31.0455864,447.477063,455.954414
16.580272,460,5.1099489,445.207067,454.890051
16.6007073,484,29.715378,442.955366,454.284622
16.6211426,463,8.60051027,440.72185,454.39949
16.641578,467,11.2622959,438.506409,455.737704
16.6620133,476,16.7676231,436.308936,459.232377
16.6824486,420,-46.3573509,434.129322,466.357351
16.7028839,441,-37.5186563,431.967458,478.518656
16.7233192,436,-58.629427,429.823237,494.629427
16.7437545,488,-19.9146549,427.69655,507.914655
16.7641899,478,-30.744931,425.58729,508.744931
16.7846252,463,-32.511679,423.495348,495.511679
16.8050605,472,-3.83379242,421.420618,475.833792
16.8254958,413,-42.842724,419.362993,455.842724
16.8459311,463,22.7286665,417.322364,440.271334
16.8663664,467,36.8000752,415.298626,430.199925
16.8868018,373,-50.8150154,413.291673,423.815015
16.9072371,443,23.6629381,411.301396,419.337062
16.9276724,408,-7.80248141,409.327691,415.802481
16.9481077,414,1.22299801,407.370451,412.777002
16.968543,420,9.93881854,405.429571,410.061181
16.9889783,364,-43.5513034,403.504945,407.551303
17.0094137,457,51.8130313,401.596467,405.186969
17.029849,407,4.06956051,399.704034,402.930439
17.0502843,400,-0.756993016,397.827539,400.756993
17.0707196,423,24.3501865,395.966879,398.649813
17.0911549,397,0.40291477,394.121948,396.597085
17.1115902,405,10.4097568,392.292644,394.590243
17.1320256,388,-4.62286282,390.478861,392.622863
17.1524609,401,10.3101035,388.680497,390.689896
17.1728962,392,3.2129528,386.897448,388.787047
17.1933315,399,12.0899936,385.129611,386.910006
17.2137668,433,47.9471626,383.376883,385.052837
17.2342021,382,-1.20442537,381.639162,383.204425
17.2546375,401,19.6477136,379.916345,381.352286
17.2750728,407,27.4823476,378.20833,379.517652
17.2955081,394,16.2508683,376.515016,377.749132
17.3159434,414,37.9847164,374.836301,376.015284
17.3363787,417,42.6986326,373.172083,374.301367
17.356814,362,-10.6058449,371.522263,372.605845
17.3772494,347,-23.9283574,369.886738,370.928357
17.3976847,368,-1.26894674,368.265409,369.268947
17.41812,387,19.3711871,366.658176,367.628813
17.4385553,400,33.988913,365.064939,366.011087
17.4589906,377,12.5853609,363.485598,364.414639
17.4794259,405,42.1724974,361.920054,362.827503
17.4998613,398,36.751695,360.368209,361.248305
17.5202966,376,16.3197904,358.829963,359.68021
17.5407319,386,27.8797356,357.305218,358.120264
17.5611672,412,55.4343241,355.793877,356.565676
17.5816025,359,3.97234247,354.295841,355.027658
17.6020378,362,8.47902935,352.811013,353.520971
17.6224732,416,63.9667156,351.339297,352.033284
17.6429085,410,59.4402992,349.880594,350.559701
17.6633438,399,49.9003697,348.434809,349.09963
17.6837791,366,18.3474073,347.001846,347.652593
17.7042144,346,-0.21763237,345.581609,346.217632
17.7246498,377,32.2075328,344.174002,344.792467
17.7450851,391,47.6279866,342.778929,343.372013
17.7655204,358,16.0481907,341.396297,341.951809
17.7859557,393,52.4598318,340.026011,340.540168
17.806391,343,3.85620527,338.667976,339.143795
17.8268263,391,53.2609872,337.322098,337.739013
17.8472617,381,44.6553971,335.988284,336.344603
17.867697,362,26.9856315,334.666441,335.014368
17.8881323,382,48.2830326,333.356475,333.716967
17.9085676,379,46.5732714,332.058295,332.426729
17.9290029,362,30.8576696,330.771807,331.14233
17.9494382,351,21.1313127,329.496921,329.868687
17.9698736,360,31.3929872,328.233544,328.607013
17.9903089,337,9.64268335,326.981586,327.357317
18.0107442,395,68.8804583,325.740954,326.119542
18.0311795,370,45.106364,324.51156,324.893636
18.0516148,369,45.3204463,323.293312,323.679554
18.0720501,380,57.5227443,322.086122,322.477256
18.0924855,348,26.7132897,320.889899,321.28671
