Scan No,Y2O3LVol,Y2O3LVolerr,Y2O3LVolf,Y2O3LVolferr,Y2O3e0
299,32.224670000,32.350620000,45.050380000,45.226450000,0.000040000
300,32.272310000,32.533410000,45.116970000,45.481990000,0.000040000
301,32.364330000,32.830840000,45.245620000,45.897800000,0.000040000
302,32.491800000,33.229120000,45.423810000,46.454600000,0.000040000
303,32.492790000,33.364170000,45.425200000,46.643400000,0.000040000
304,32.802300000,34.141140000,45.857900000,47.729610000,0.000040000
305,32.794940000,34.275040000,45.847610000,47.916810000,0.000040000
306,32.834720000,34.439220000,45.903220000,48.146320000,0.000040000
307,32.637530000,34.127490000,45.627550000,47.710530000,0.000030000
308,32.802980000,34.532470000,45.858850000,48.276700000,0.000030000
309,33.421560000,35.978550000,46.723630000,50.298330000,0.000040000
310,32.985260000,35.223850000,46.113680000,49.243240000,0.000030000
311,33.837530000,37.155310000,47.305160000,51.943450000,0.000040000
312,33.563150000,36.784890000,46.921580000,51.425590000,0.000040000
313,33.970390000,37.781540000,47.490900000,52.818930000,0.000040000
314,33.147140000,36.136760000,46.339990000,50.519500000,0.000030000
315,33.444200000,36.835640000,46.755290000,51.496550000,0.000030000
316,34.401680000,38.983020000,48.093850000,54.498610000,0.000040000
317,34.375580000,39.083760000,48.057370000,54.639430000,0.000040000
318,34.470930000,39.575030000,48.190660000,55.326240000,0.000040000
319,34.541360000,39.879210000,48.289120000,55.751480000,0.000040000
320,34.633740000,40.278920000,48.418280000,56.310280000,0.000040000
321,34.626080000,40.479780000,48.407570000,56.591090000,0.000040000
322,34.832520000,40.961080000,48.696160000,57.263950000,0.000040000
323,34.927770000,41.256710000,48.829320000,57.677250000,0.000040000
324,34.393200000,40.279790000,48.081990000,56.311500000,0.000040000
325,35.104980000,41.883190000,49.077060000,58.553060000,0.000040000
326,34.931980000,41.610640000,48.835220000,58.172040000,0.000040000
327,35.016280000,42.004580000,48.953060000,58.722760000,0.000040000
328,35.035380000,42.219940000,48.979760000,59.023840000,0.000040000
329,35.339270000,43.018710000,49.404610000,60.140530000,0.000040000
330,35.511680000,43.534530000,49.645630000,60.861660000,0.000040000
331,35.514940000,43.682220000,49.650200000,61.068120000,0.000040000
